Poste_Origem,Poste_Destino,Distancia,Lat_Poste_Origem,Lon_Poste_Origem,Lat_Poste_Destino,Lon_Poste_Destino
08-07852    ,08-07854    ,13.204077258559192,-3.7428606838774967,-38.53748762914291,-3.7429783010895292,-38.53750839274648
08-07255    ,08-07256    ,13.30075773217451,-3.740818909577166,-38.5427428566895,-3.7407013165441603,-38.54276824566497
08-00450    ,08-02510    ,13.341664064126334,-3.7381274640743873,-38.53403763273553,-3.7381003865448776,-38.534154718298794
08-07802    ,08-07835    ,13.353421292155044,-3.7437208588305597,-38.5368275542117,-3.7437017338777556,-38.536946292441066
08-02558    ,08-02561    ,13.38857371978061,-3.742372856348352,-38.53879424989138,-3.7424814441486633,-38.53884766344978
08-00789    ,08-09897    ,13.409032600654042,-3.743584576322684,-38.53779343783121,-3.743490071324207,-38.53771773006035
08-10284    ,08-10345    ,13.41063754857151,-3.7387297749609947,-38.53884252906354,-3.7386099603713623,-38.53882355584798
08-09477    ,15-05427    ,13.47666617782692,-3.746453278976782,-38.54195892976214,-3.7465631418119476,-38.5420115507659
08-02517    ,08-02518    ,13.551041599047185,-3.7397925101470304,-38.53491366428109,-3.739914357296223,-38.53492708940097
08-02575    ,08-07818    ,13.768311670281149,-3.7430682719806105,-38.536573458253436,-3.7430953476673046,-38.536452432124875
08-10505    ,08-10506    ,13.849908990439111,-3.7438336597884825,-38.54088590232744,-3.743739441084766,-38.54080368391395
08-10511    ,08-10512    ,13.901430194093049,-3.7356804114089543,-38.53576910036691,-3.7355546828322206,-38.53577194732278
08-01209    ,08-10408    ,13.91220166787808,-3.7413509777895686,-38.539536051313966,-3.7414527316807304,-38.539462316801874
15-05201    ,15-05424    ,13.92446138994252,-3.746482051454723,-38.54263973202412,-3.746563421032856,-38.54254400549084
08-01389    ,08-01390    ,13.975296870105511,-3.7334145868596433,-38.53492380222001,-3.7334384314710443,-38.53480020717738
08-01382    ,08-01383    ,13.97800487342678,-3.7344219312696163,-38.53521733867909,-3.734470820964672,-38.53510124896623
08-07775    ,08-10040    ,13.987275000882196,-3.74026668708139,-38.540521565433,-3.7401408826204476,-38.54053510679412
08-07813    ,08-07814    ,14.01687041568124,-3.743294641539266,-38.536957763200554,-3.743195087149233,-38.536879579877684
15-05320    ,15-06083    ,14.020074892809951,-3.7455294521184994,-38.53750986828119,-3.745656101350646,-38.53750304762618
08-09480    ,15-05429    ,14.048176252565256,-3.746810021812569,-38.54159277454183,-3.7468976956357465,-38.5416843616056
08-02578    ,08-07815    ,14.085120695258524,-3.7431136149703255,-38.536780561767465,-3.7430050202075487,-38.536714202996414
15-07409    ,15-07837    ,14.14579698353197,-3.7462961002525654,-38.53790345772673,-3.746244282800801,-38.537786977143746
08-00381    ,08-10806    ,14.213504567567444,-3.737688123750338,-38.5329859834192,-3.7377468971269345,-38.53309982929532
08-02552    ,08-07807    ,14.2512334992449,-3.743729020519705,-38.53722319857545,-3.7436204242883604,-38.53715402547745
15-07408    ,15-07409    ,14.25332965564798,-3.746198730658969,-38.53798760732005,-3.7462961002525654,-38.53790345772673
15-05738    ,15-05739    ,14.317821063276352,-3.7534789775265684,-38.550082646612736,-3.7535965559868316,-38.550028552477315
08-05206    ,08-05220    ,14.409491776412493,-3.74446171247123,-38.53706240249719,-3.744435491270395,-38.53693528941283
08-02508    ,08-10808    ,14.45498095057172,-3.7375754591430304,-38.53373624059763,-3.7375087275348853,-38.53384818958858
08-07047    ,08-07049    ,14.506177921822974,-3.7346897048397265,-38.53551155985737,-3.734736456396205,-38.53538949612725
08-02538    ,08-07837    ,14.534309924777215,-3.7435567887285903,-38.53657095006824,-3.743475658899329,-38.53667395306313
08-03167    ,08-10780    ,14.54253244757211,-3.743619408212421,-38.53524034845592,-3.7434881554331327,-38.535249306121706
08-06463    ,08-07767    ,14.543173871270328,-3.741813605753874,-38.541913832215315,-3.7416869714388397,-38.54194935725898
08-07804    ,08-07806    ,14.545322486971545,-3.7438374434566954,-38.53696535793329,-3.743747027584853,-38.53706052648444
08-01380    ,08-01381    ,14.660489828833557,-3.7346774524551214,-38.535300844190445,-3.7347304738530105,-38.53517982899284
15-05321    ,15-05325    ,14.661861912874096,-3.745240955734277,-38.53732336418216,-3.745208799501394,-38.537451463533195
08-00891    ,08-00892    ,14.70856327977184,-3.7383886467276017,-38.540187290308104,-3.7382903352356287,-38.540098028648785
15-05335    ,15-05345    ,14.73046091540475,-3.7460183252840444,-38.53818052646332,-3.7461167004696985,-38.53827001186599
08-10282    ,08-10297    ,14.775420520459845,-3.738977703621896,-38.53907631462427,-3.738971359592033,-38.53920922467461
08-00086    ,08-00087    ,14.873847734538655,-3.739793406021155,-38.53660106970986,-3.739658854745156,-38.53659971029395
08-00780    ,08-08770    ,14.924942420324442,-3.742553159232262,-38.53760261099125,-3.7425983253549577,-38.53747594700238
08-01240    ,08-04926    ,14.966965411820144,-3.735974689432277,-38.534644948769014,-3.7360628399036337,-38.53474725661337
08-02888    ,08-09470    ,14.97334840833806,-3.7453786836316656,-38.54325493485353,-3.7453430622743515,-38.543124837272096
08-10225    ,08-10298    ,15.009401386912788,-3.738936139777778,-38.53903514878769,-3.738800368888607,-38.53903706672224
08-05101    ,08-09591    ,15.02511071623572,-3.7366973699825614,-38.53282728625025,-3.736716909796608,-38.53296118900594
08-01214    ,08-01215    ,15.074813431681337,-3.7404457862610236,-38.538534660521364,-3.7403100939155007,-38.53854823975927
15-05320    ,15-05326    ,15.10497124293853,-3.7455294521184994,-38.53750986828119,-3.7454571401963,-38.537625290001465
